[EDM Progressive House] 感受电音正能量,电子-欧美-舞曲,介绍：EDM 渐进浩室或前卫浩室，歌曲的表现形式基本就是将声音等元素不断地往上面叠加构建一个饱满的段落来烘托激情高昂的drop部分，结构与流行歌曲相似，经常加入高亢的人声来提高表现力。注重旋律，House节奏，Drop部分通常给人一种愉快亢奋的感觉。,20433,4316791,90,90
[卧室漫游] 盖上被子 独享你心里的宇宙,欧美-夜晚-放松,介绍：对于身处的都市的你我来说卧室绝不仅仅是一间房间它安顿、隐秘而肆无忌惮在这里，我们被允许卸下沉重的躯壳给灵魂换上自由的轻装关上房门，按下播放键独占一个空间的感觉有多美妙,7235,1196681,30,34
[Trip Hop] 神游舞曲 致幻神游,舞曲-电子-欧美,"介绍：trip-hop 起源于90年代英国bristol 一地，在欧洲不断面临美国hip-hop 侵入的冲击之时，英国的dj 们即开始将hip-hop 发展成自己的风格，他们将hip-hop的速度降慢（较为downtempo），强调沉重缓慢的鼓声及bass，抽掉hip-hop中的rap，于是形成了所谓的bristol hip-hop（trip-hop 之前身，当时尚未有trip-hop 这个名词）。至于真正trip-hop兴盛的关键时期则是在94、95年massive attack 推出第二张唱片「protection」，以及portishead 和tricky 的崛起。从portishead 女主唱beith gibbson 颓废、慵懒的唱腔加上60、70年代老旧唱片的sample（甚至唱片的杂音），到tricky 喃喃自语般愤世嫉俗的低沉声音，将bristol sound 营造出了一种迷幻抽象、黑暗诡谲的新环境。于是便有杂志将他们这种音乐型态称之为""trip-hop""",12927,4344281,30,37
[健身必备] 动感节奏点燃训练激情,欧美-电子-运动,介绍：精选125BPM左右动感流行电子音乐，为你的健身训练补充强劲能量。,10424,2195836,80,10
[欧美私人订制] 最懂你的欧美推荐 每日更新35首,欧美,介绍：收藏专属于你的欧美日推每天和喜欢的欧美音乐不期而遇,344万,417944576,35,33803
[HIIT一下] 热力节奏，极速燃脂！,欧美-运动-兴奋,介绍：激发极限，挥汗如雨，高效燃脂就现在！,2917,703225,60,6
[她力量] 手握麦克风的她们势不可挡,欧美-民谣-摇滚,介绍：本歌单精选1970s-1990s的优秀摇滚女主唱乐队、歌手、乐手、唱作人100多余。风格涉及硬摇滚、垃圾摇滚、后朋克、暴女朋克、新浪潮与民谣等。让我们跟随地下丝绒的Nico回到七十年代，让我们一起聆听蓝调摇滚女王Janis Joplin沙哑又独特的嗓音，和朋克教母Patti Smith一起唱“people have the power~”，与Joan Jett一起感受女性hard rock的力量、还有哥特代表Siouxsie and th Banshees那阴郁又黑暗的独特美学。或许你还会在这个歌单里发现一些未曾耳闻或毫无印象的小众乐队。让我们一起畅游在这些优秀的女歌手们独一无二的音乐中吧！,2609,880999,100,35
[徒步随响]深秋轨迹，在路途中找答案,流行-欧美,介绍：不是有未抵达的地方，而是有未经历的生活。山川河流，随着旋律，和你一起享受。,1320,170002,65,6
[一周欧美上新]Alec Benjamin热单《Paper Crown》重录发行,欧美-流行,介绍：每周最新上线欧美歌曲，编辑精选推荐。本期封面：Alec Benjamin,19万,36898688,50,2172
[出门大作战] 合着音乐不紧不慢,欧美-兴奋,介绍：准备出门，但是还要洗漱、穿衣、化妆…头疼又无聊！小编精选时长2-4分钟的歌曲，配合出门前每一项行程的耗时，让音乐陪你不紧不慢地准时出门！,298,98841,60,6
[HipHop练习曲] 律动型歌荒拯救计划,说唱-欧美-流行,介绍：你的HipHop类舞曲专属管家，每日不同练习曲等你来选,13135,1681788,30,51
[欧美点唱机] 重温热播欧美流行单曲 每日30首,欧美-流行,介绍：重温热播欧美流行单曲,19万,27488842,30,322
[当代节奏布鲁斯] 来一杯丝滑且醇厚的R&B咖啡,R&B/Soul-欧美,介绍：当代节奏布鲁斯（Contemporary R&B）结合了传统的R&B（1940、1950年代出现的老派R&B）、流行乐、灵魂乐、嘻哈、放克等风格的影响。尽管简写“R&B”让人联想到最早的Rhythm and Blues，但是Contemporary R&B通常特指是1980年代当迪斯科（Disco）没落之后的美国黑人音乐。也有很多人将Contemporary R&B、Hip Hop、Dance Pop等风格统称为当代都市音乐，它们被电台DJ们播放的频率很高。Contemporary R&B的入耳旋律和鲜明节拍让它一直拥有广大的受众，是当代流行音乐中的主流。当代节奏布鲁斯代表艺人：Whitney Houston，Mariah Carey，Beyoncé，Ne-Yo.,13615,1706710,30,60
[打游戏听说唱] 说唱律动是你最佳游戏伴侣,游戏-说唱-欧美,介绍：说唱律动 Feat.超燃游戏,44289,6757207,30,86
[一周欧美说唱] 嘻哈众星云集Metro Boomin新专,说唱-欧美,介绍：编辑精选欧美说唱新歌每周五更新 收藏订阅 一起SWAG！,43681,7564818,50,134
[运动随身听] 必听活力音乐燃料 今天运动了吗,兴奋-欧美-运动,介绍：运动健身时刻你需要一份音乐燃料加速在运动随身听 享受自在的动感节奏,84万,84278160,30,1440
Chill Time丨浸润于夜色中的一抹寂静,欧美-电子-夜晚,介绍：音乐是故事的调色盘，虚无飘渺的情绪就拥有了色彩。本张歌单带来了由Danisogen创作的音乐，感受Chillhop与传统风韵「和风/古风」的完美碰撞，别有一番韵味，旋律或纯净悠远，或婉转凄美，薄薄的月光流淌在音符上，似一泓平静水面突起的涟漪，仿若在诉说着一个故事，或是一段情感，如梦如幻，塑造着一幅大自然无界声响的全景画卷。───────────────────────────持续更新,326,108085,34,4
微醺｜R&B 慵懒 浪漫氛围感,浪漫-R&B/Soul-欧美,介绍：前奏沦陷 慵懒chill氛围感微醺是人生最美妙的时刻之一意识涣散头脑彻底放松我依旧是我 是有序里偶尔的紊乱是常规里的浪漫和放纵扑面而来的迷幻氛围感复古采样的模糊声线鼓点节奏敲响的灵感乍现闭上眼睛像是朦胧的水汽弥漫在耳朵周围半梦半醒——————————————忙完了一天的学习工作洗个澡 惬意的伸个懒腰 喝点小酒打开网易云 连上蓝牙 悠然的站在阳台看着窗外的阑珊夜景太舒服惬意了！,12万,6670639,520,447
Chill Time丨围炉夜话 温酒煮茶,欧美-夜晚-放松,介绍：冬天是哈利波特黄昏的灯光旁白有杯热牛奶在温暖的被窝沉浸在奇幻的魔法世界里海格的大衣和房间的壁炉───────────────────────────持续更新,484,27693,43,1
Chill Time丨安逸恬静的舒适角落,欧美-夜晚-放松,介绍：夜幕降临，褪去了白天的繁华喧嚣，温柔与静谧让人感到安宁，结束一天的忙碌，带上耳机，耳边响起舒缓悦耳的音乐，仿佛让整个灵魂都放松下来，轻轻松松地度过一个静谧的夜晚。生活需要仪式感，不经意间的调剂，带来一些小确幸，在喧嚣的城市里，有一份独立的宁静，是很幸福的一件事。───────────────────────────持续更新,190,22544,104,1
英文说唱丨欧美腔调与丝滑Flow的化学反应,欧美-说唱-榜单,介绍：时下最新潮的英文说唱，带你领略英文说唱的魅力。〈skr〉Rap是一个黑人俚语中的词语，相当于“谈话”，中文意思为说唱。是指有节奏地说话的特殊唱歌形式发源于纽约贫困黑人聚居区。它以在机械的节奏声的背景下，快速地诉说一连串押韵的诗句为特征。这种形式来源之一是过去电台节目主持人在介绍唱片时所用的一种快速的、押韵的斥责或说唱音乐的节奏，布鲁斯音乐风格包括vocals 等巧妙地和音乐融合。陪同一般包括电子鼓敲打与样品被结合从其它音乐录音。喜欢歌单的可以收藏关注不迷路，好听到可以单曲循环 歌单持续更新中～,4865,428532,62,17
双倍快乐 | 听了心情会变好,轻音乐-欧美-放松,介绍：霉运清除，逢考必过，好运无限，好事连连舒服的旋律，开心的节奏，多巴胺在分泌与你分享这份快乐，心情不好时听听,22029,3940654,128,101
Chill Time丨落日渐沉 晕染宁静小时光,欧美-夜晚-放松,介绍：最轻松的时刻，莫过于结束了一天的忙碌，卸下疲惫，我们需要轻柔的音乐治愈灵魂，可以是在咖啡厅，悠然的看着窗外人来人往，思考着生活的意义，也可以是坐在公园的长椅上，感受着城市的夜景，灯光恍惚，亦幻亦真，沉淀下一天的劳累和心情。晨间路边灯，暮里街角风，皆入梦，皆如梦。愿你拥有一个惬意而宁静的夜晚。───────────────────────────持续更新,737,109039,127,8
一些很欲 缠绵 性感 的歌｜欧美,欧美-夜晚-性感,介绍：嘘 be quiet -建议随机播放 持续更新-* 我觉得爱情里有无限多的喜悦，它使人在生命的道路上步伐坚定。* 真希望下个星期日早来，并且那一天春光明媚。* 但愿我和你，是一支唱不完的歌。,87065,3550158,162,158
『地下/匪帮/New Wave』Trap 陷阱说唱,欧美-流行-说唱,介绍：『地下/匪帮/老派』陷阱说唱（Trap Rap） 起源于美国南部的亚特兰大， 是说唱音乐的一个重要分支 也是目前最为流行的说唱风格， 它吸收了美国南部流行音乐旋律性极好的特点同样也受到陷阱舞曲（Trap Music）的启发与影响。在听觉上加了很多“冲击效果”的硬式新型舞曲， 比如有些低音bass特别沉闷， 有些节奏速度快beats又重， 还有和声带有迷幻空间感等，让你感受到躁动的同时，心情久久无法平静。打开这个歌单，感受陷阱音乐的魅力，让你上瘾并且感受陷阱说唱带来的迷幻感觉。,438,43443,1878,5
秋游絮语➹轻快律动，氤氲遐想氛围,电子-欧美-旅行,介绍：Want to give you a hug，let the world know.（想给你一个拥抱，让全世界都知道）Becauseofyou，llostmyway.（因为你，我迷失了方向）曲风多样，无聊的时候打开这张歌单随机播放就好，希望能遇值得让你红心的歌曲。秋游絮语➹轻快律动，氤氲遐想氛围,956,180367,164,9
